Total Time,Init Time,Write to crypto stream,
2597160,2522814,35075,
3746655,3648385,41910,
2599027,2529668,31272,
3280443,3173623,57249,
2846507,2771127,35401,
3394499,3308671,40918,
2583473,2505723,37799,
3047114,2968167,35686,
2790113,2712074,38913,
3238297,3159912,34411,
2359441,2296254,26270,
2602504,2534527,29750,
2807628,2732487,37976,
3218364,3141977,36310,
2281946,2215271,30307,
3022193,2939920,40431,
2686357,2605688,42616,
2416346,2349607,30922,
2664181,2589740,33348,
3890718,3819018,33893,
6149702,6060608,50182,
2371044,2305094,28436,
2699752,2629989,31408,
2337694,2273907,28667,
2443004,2373052,32203,
2241190,2181298,27177,
2301572,2237880,28275,
4679795,4570081,50066,
4569716,4436463,56207,
3953054,3840542,50955,
3979986,3863828,48837,
7851222,7667298,70182,
3966332,3855365,46377,
2279284,2214812,29661,
2585554,2520806,28419,
3275257,3196350,36551,
4649127,4534365,40417,
2518984,2445326,35125,
2576958,2499058,36751,
2714062,2614059,57955,
2745935,2664161,35069,
